panel,currency,metric,name,level,ytd,1y,3y,5y,10y,pe,3m
currencies,GBP,GBPUSD,GBP / USD,1.3159,5.154227265462682,4.2792614311752155,10.962138460241178,-0.791616405307596,-13.626517886445685,,
currencies,GBP,GBPEUR,GBP / EUR,1.1331,-6.246897236471943,-5.282955780322656,-1.03930131004367,1.4867890729959647,-20.723431050164418,,
currencies,GBP,GBPCHF,GBP / CHF,1.045,-7.961951735071344,-6.663093962129333,-7.448410238242855,-13.421706710853368,-32.29672821509557,,
currencies,GBP,GBPJPY,GBP / JPY,203.61,3.5103327317556747,3.834973736549549,22.416954757252384,47.53813267635232,8.406985411564275,,
currencies,GBP,GBPPLN,GBP / PLN,4.7877,-7.098088677597751,-7.505505969630224,-11.06219349086046,-3.840205667918622,-20.673029128143952,,
equities,GBP,VWRP,🐶 Global Equities,126.88,14.141777617848147,15.136116152450082,53.83123181377303,77.55387629443045,,,
equities,GBP,CSP1,US Large Caps,54924.0,9.487785186735639,11.080999089897867,59.88123308008034,100.02549301673433,336.85822231059853,,
equities,GBP,SWDA,Developed Markets,9731.0,12.536139701630622,13.706473475111009,55.26126844834464,85.29943825573646,256.5775009160865,,
equities,GBP,EMIM,Emerging Markets,3408.0,25.11013215859031,24.812305438564366,43.28358208955223,36.37454981992797,150.1743439163149,,
equities,GBP,CUKX,UK Large Caps,19430.0,22.463128702886674,23.821055314810096,46.86318972033258,81.30073714658953,124.66323639937562,,
yields10y,GBP,UK10Y,🇬🇧 UK,,,3.6573,3.685,3.9983,4.5732,,4.114
yields10y,GBP,US10Y,🇺🇸 US,,,3.681,3.607,3.723,4.14,,3.888
yields10y,GBP,DE10Y,🇩🇪 Germany,,,1.9906,2.0996,2.3081,2.7187,,1.814
yields10y,GBP,FR10Y,🇫🇷 France,,,2.1088,2.4321,2.7706,3.4573,,2.025
yields10y,GBP,IT10Y,🇮🇹 Italy,,,1.9374,2.3448,2.7452,3.4697,,2.26
yields10y,GBP,ES10Y,🇪🇸 Spain,,,2.014,2.2224,2.5747,3.2231,,1.971
diversifiers,GBP,CSH2,Cash,120950.0,4.085092467492234,4.630743012361912,15.55254081837376,17.05272937544457,20.522746862372887,,
diversifiers,GBP,SGLN,Gold,6048.0,49.48096885813148,50.71019187640169,107.90649707803368,117.63224181360201,333.08270676691734,,
diversifiers,GBP,BTCE,Bitcoin,66.19,-17.355475090523168,-9.872004357298476,340.1516159063705,,,,
diversifiers,GBP,CMOP,Commodities,2006.5,9.182424159978234,12.18898518311434,-2.926947266569908,70.76595744680851,,,
