country,country_code,type,ticker,yield,date
japan,JP,7y,JP7y,1.57,2025-11-28T00:00:00.000
australia,AU,7y,AU7y,4.3,2025-11-28T00:00:00.000
canada,CA,10Y,CA10Y,3.152,2025-11-28T00:00:00.000
mexico,MX,10Y,MX10Y,8.69,2025-11-28T00:00:00.000
united states,US,10Y,US10Y,4.018,2025-11-28T00:00:00.000
austria,AT,10Y,AT10Y,2.9718,2025-11-28T00:00:00.000
belgium,BE,10Y,BE10Y,3.1932,2025-11-28T00:00:00.000
switzerland,CH,10Y,CH10Y,0.182,2025-11-28T00:00:00.000
czech republic,CZ,10Y,CZ10Y,4.539,2025-11-28T00:00:00.000
germany,DE,10Y,DE10Y,2.6913,2025-11-28T00:00:00.000
denmark,DK,10Y,DK10Y,2.5637,2025-11-28T00:00:00.000
spain,ES,10Y,ES10Y,3.166,2025-11-28T00:00:00.000
finland,FI,10Y,FI10Y,3.037,2025-11-28T00:00:00.000
france,FR,10Y,FR10Y,3.4126,2025-11-28T00:00:00.000
united kingdom,GB,10Y,GB10Y,4.447,2025-11-28T00:00:00.000
greece,GR,10Y,GR10Y,3.309,2025-11-28T00:00:00.000
croatia,HR,10Y,HR10Y,3.059,2025-11-28T00:00:00.000
hungary,HU,10Y,HU10Y,7.06,2025-11-28T00:00:00.000
ireland,IE,10Y,IE10Y,2.9032,2025-11-28T00:00:00.000
iceland,IS,10Y,IS10Y,6.232,2025-11-28T00:00:00.000
italy,IT,10Y,IT10Y,3.404,2025-11-28T00:00:00.000
lithuania,LT,10Y,LT10Y,3.521,2025-11-28T00:00:00.000
netherlands,NL,10Y,NL10Y,2.8315,2025-11-28T00:00:00.000
norway,NO,10Y,NO10Y,4.075,2025-11-28T00:00:00.000
poland,PL,10Y,PL10Y,5.15,2025-11-28T00:00:00.000
portugal,PT,10Y,PT10Y,3.015,2025-11-28T00:00:00.000
romania,RO,10Y,RO10Y,6.96,2025-11-28T00:00:00.000
russia,RU,10Y,RU10Y,14.33,2025-11-28T00:00:00.000
sweden,SE,10Y,SE10Y,2.728,2025-11-28T00:00:00.000
slovenia,SI,10Y,SI10Y,3.012,2025-11-28T00:00:00.000
slovakia,SK,10Y,SK10Y,3.397,2025-11-28T00:00:00.000
turkey,TR,10Y,TR10Y,29.35,2025-11-28T00:00:00.000
china,CN,10Y,CN10Y,1.832,2025-11-28T00:00:00.000
indonesia,ID,10Y,ID10Y,6.314,2025-11-28T00:00:00.000
israel,IL,10Y,IL10Y,3.914,2025-11-27T00:00:00.000
india,IN,10Y,IN10Y,6.515,2025-11-28T00:00:00.000
japan,JP,10Y,JP10Y,1.8068,2025-11-28T00:00:00.000
south korea,KR,10Y,KR10Y,3.343,2025-11-28T00:00:00.000
malaysia,MY,10Y,MY10Y,3.473,2025-11-28T00:00:00.000
philippines,PH,10Y,PH10Y,5.89,2025-11-28T00:00:00.000
pakistan,PK,10Y,PK10Y,11.907,2025-11-28T00:00:00.000
singapore,SG,10Y,SG10Y,2.116,2025-11-28T00:00:00.000
thailand,TH,10Y,TH10Y,1.683,2025-11-28T00:00:00.000
vietnam,VN,10Y,VN10Y,4.031,2025-11-28T00:00:00.000
australia,AU,10Y,AU10Y,4.533,2025-11-28T00:00:00.000
new zealand,NZ,10Y,NZ10Y,4.2657,2025-11-28T00:00:00.000
canada,CA,20y,CA20y,3.48,2025-11-28T00:00:00.000
united states,US,20y,US20y,4.63,2025-11-28T00:00:00.000
france,FR,20y,FR20y,4.01,2025-11-28T00:00:00.000
united kingdom,GB,20y,GB20y,5.09,2025-11-28T00:00:00.000
greece,GR,20y,GR20y,3.71,2025-11-28T00:00:00.000
italy,IT,20y,IT20y,4.01,2025-11-28T00:00:00.000
portugal,PT,20y,PT20y,3.65,2025-11-28T00:00:00.000
russia,RU,20y,RU20y,13.67,2025-11-28T00:00:00.000
china,CN,20y,CN20y,2.25,2025-11-28T00:00:00.000
indonesia,ID,20y,ID20y,6.56,2025-11-28T00:00:00.000
japan,JP,20y,JP20y,2.83,2025-11-28T00:00:00.000
singapore,SG,20y,SG20y,2.12,2025-11-28T00:00:00.000
australia,AU,20y,AU20y,5.04,2025-11-28T00:00:00.000
canada,CA,30y,CA30y,3.6,2025-11-28T00:00:00.000
united states,US,30y,US30y,4.67,2025-11-28T00:00:00.000
germany,DE,30y,DE30y,3.33,2025-11-28T00:00:00.000
spain,ES,30y,ES30y,4.01,2025-11-28T00:00:00.000
france,FR,30y,FR30y,4.31,2025-11-28T00:00:00.000
united kingdom,GB,30y,GB30y,5.19,2025-11-28T00:00:00.000
italy,IT,30y,IT30y,4.33,2025-11-28T00:00:00.000
portugal,PT,30y,PT30y,3.88,2025-11-28T00:00:00.000
china,CN,30y,CN30y,2.17,2025-11-28T00:00:00.000
indonesia,ID,30y,ID30y,6.77,2025-11-28T00:00:00.000
india,IN,30y,IN30y,7.31,2025-11-28T00:00:00.000
japan,JP,30y,JP30y,3.34,2025-11-28T00:00:00.000
singapore,SG,30y,SG30y,2.18,2025-11-28T00:00:00.000
australia,AU,30y,AU30y,5.12,2025-11-28T00:00:00.000
france,FR,1m,FR1m,2.1,2025-11-28T00:00:00.000
united kingdom,GB,1m,GB1m,4.04,2025-11-28T00:00:00.000
greece,GR,1m,GR1m,2.79,2025-11-28T00:00:00.000
italy,IT,1m,IT1m,2.03,2025-11-28T00:00:00.000
indonesia,ID,1m,ID1m,4.54,2025-11-28T00:00:00.000
japan,JP,1m,JP1m,0.47,2025-11-26T00:00:00.000
singapore,SG,1m,SG1m,1.34,2025-11-28T00:00:00.000
canada,CA,1m,CA1m,2.22,2025-11-28T00:00:00.000
germany,DE,15y,DE15y,3.09,2025-11-28T00:00:00.000
spain,ES,15y,ES15y,3.63,2025-11-28T00:00:00.000
italy,IT,15y,IT15y,3.86,2025-11-28T00:00:00.000
singapore,SG,15y,SG15y,2.13,2025-11-28T00:00:00.000
united states,US,4w,US4w,3.94,2025-11-28T00:00:00.000
united states,US,8w,US8w,3.91,2025-11-28T00:00:00.000
singapore,SG,12m,SG12m,1.35,2025-11-28T00:00:00.000
japan,JP,40y,JP40y,3.69,2025-11-28T00:00:00.000
spain,ES,50y,ES50y,3.8,2024-04-05T00:00:00.000
