region,name,category,geography,currency,distribution_type,horizon,ticker,exchange,duration_yrs,ytm_pct,ter_pct,benchmark,maxdd_pct,dd_start,dd_end,ytd_pct,returns_3y_pct,returns_5y_pct,returns_10y_pct,order
Government - European,Vanguard Eurozone Government Bond UCITS ETF,Government,European,EUR,Both,Medium/Long,VGEB,XETRA,7.03425,2.86044,7.000000000000001,Morningstar EZN Trsy Bd GR EUR,-21.59415484313828,2020-12-15,Ongoing,1.3002967332246262,1.83,-2.86,0.0,24
Government - European,Xtrackers II Eurozone Government Bond UCITS ETF,Government,European,EUR,Both,Medium/Long,X03F,XETRA,7.05,2.79,11.0,Morningstar EZN Trsy Bd GR EUR,-21.939033686483423,2020-12-15,Ongoing,1.345021569995919,1.79,-2.86,-6.0,25
Government - European,iShares Core Euro Government Bond UCITS ETF,Government,European,EUR,Both,Medium/Long,EUNH,XETRA,7.06389,2.78,7.000000000000001,Morningstar EZN Trsy Bd GR EUR,-21.960561345666708,2020-12-15,Ongoing,1.3732531586097219,1.79,-2.88,-6.0,26
Government - European,Amundi Euro Government Bond 7-10Y UCITS ETF,Government,European,EUR,Both,Medium/Long,LYXD,XETRA,7.499,3.0,17.0,Morningstar EZN Trsy Bd GR EUR,-21.86702086503495,2020-12-16,Ongoing,2.5447125195054765,2.35,-2.55,22.0,27
Government - UK,iShares Core UK GILTS,Government,UK,GBP,Distributing,Medium/Long,IGLT,LSE,7.80634,4.3,7.000000000000001,Morningstar UK Gilt Bd GR GBP,-32.80411279957662,2020-05-07,Ongoing,4.871840907410729,-22.0,-5.27,-34.0,28
Government - UK,Amundi Core UK Government Bond UCITS ETF,Government,UK,GBP,Both,Medium/Long,GILS,LSE,8.0536,4.31,5.0,,-36.53122501703157,2020-05-07,Ongoing,4.707710819211863,-24.0,-5.31,-21.0,29
Government - UK,Vanguard U.K. Gilt UCITS ETF,Government,UK,GBP,Both,Medium/Long,VGOV,LSE,8.05873,4.62613,5.0,Morningstar UK Gilt Bd GR GBP,-36.524771682033176,2020-05-07,Ongoing,4.534250129735318,-98.0,-6.41,-69.0,30
Government - US,iShares USD Treasury Bond 7-10yr UCITS ETF,Government,US,USD,Both,Medium,CBU0,LSE,6.98901,4.0,7.000000000000001,,-22.815314329085844,2020-08-06,Ongoing,8.803406869589491,3.78,-1.71,1.33,31
Government - US,iShares USD Treasury Bond 7-10yr UCITS ETF,Government,US,GBP,Both,Medium,IGTM,LSE,6.99912,4.0,10.0,-,-24.357238155426487,2020-08-06,Ongoing,8.260109773806889,3.09,-2.13,0.0,32
Government - US,iShares USD Treasury Bond 7-10yr UCITS ETF,Government,US,EUR,Both,Medium,CEMF,XETRA,,,,,-0.6334369749522173,2025-10-28,2025-11-25,3.3131570563873725,,,,33
