provider,key,label,ticker,exchange,index,1M_pct,YTD_pct,1Y_pct,3Y_ann_pct,5Y_ann_pct,asof
CRSP,Large-Value,Large Value,VTV,US,CRSP US Large Cap Value,1.7365591397849434,13.778003320203624,6.376220926147136,12.362157183038192,13.054708228333457,2025-11-28
CRSP,Large-Blend,Large Blend,VV,US,CRSP US Large Cap,-1.2705201585005432,17.635993901244063,14.58312422783039,22.052904194749146,14.72788282869808,2025-11-28
CRSP,Large-Growth,Large Growth,VUG,US,CRSP US Large Cap Growth,-3.149169079443148,19.64294769767312,19.94539854006423,30.573525577953518,15.581354604281339,2025-11-28
CRSP,Mid-Value,Mid Value,VOE,US,CRSP US Mid Cap Value,2.3251768526034944,11.31197630323384,2.4876500261925116,10.615439816712113,11.273484630252572,2025-11-28
CRSP,Mid-Blend,Mid Blend,VO,US,CRSP US Mid Cap,-0.3672936976520602,11.36105267560037,3.6105741685720005,13.148147859649528,9.418512813654045,2025-11-28
CRSP,Mid-Growth,Mid Growth,VOT,US,CRSP US Mid Cap Growth,-3.9922202886682356,10.963923414898268,4.5411902395526615,15.820876288953855,7.45138184336549,2025-11-28
CRSP,Small-Value,Small Value,VBR,US,CRSP US Small Cap Value,1.888250350123144,8.485780588048652,-0.3329007717610244,10.693182146993706,11.813955146407483,2025-11-28
CRSP,Small-Blend,Small Blend,VB,US,CRSP US Small Cap,0.7435526161311712,8.387836714690277,0.23607634342159844,12.166996785703986,8.790091933400879,2025-11-28
CRSP,Small-Growth,Small Growth,VBK,US,CRSP US Small Cap Growth,-0.825657894736842,7.935857839285165,0.5345346747274826,14.058033169896934,4.613473959557202,2025-11-28
Russell,Large-Value,Large Value,IWD,US,Russell 1000 Value,1.831680750256437,14.331153429578137,6.275223670909735,12.446464677799485,11.639429167697934,2025-11-28
Russell,Large-Blend,Large Blend,IWB,US,Russell 1000,-0.9862562139458353,16.74877573019704,13.237433475364014,21.175612969648448,14.243091343143387,2025-11-28
Russell,Large-Growth,Large Growth,IWF,US,Russell 1000 Growth,-3.479693315165433,18.80391046600871,19.60845243144631,29.315876014314355,16.18501700969146,2025-11-28
Russell,Mid-Value,Mid Value,IWS,US,Russell Mid-Cap Value,1.9020756490923496,10.582224437180443,2.129571911105965,10.765567356168093,10.466253916030954,2025-11-28
Russell,Mid-Blend,Mid Blend,IWR,US,Russell Mid-Cap,0.5529473135106988,10.174257769811469,2.2571260633658774,12.955584959040456,9.435598552347946,2025-11-28
Russell,Mid-Growth,Mid Growth,IWP,US,Russell Mid-Cap Growth,-3.4961115392699416,8.342634565028796,2.186012074775179,17.465600430612383,7.549341927262443,2025-11-28
Russell,Small-Value,Small Value,IWN,US,Russell 2000 Value,1.983146067415742,12.123798805939924,2.4239719376484947,9.684362073111474,10.206537159929297,2025-11-28
Russell,Small-Blend,Small Blend,IWM,US,Russell 2000,0.18635553394912296,12.709256150812553,3.3552205670620117,12.130838972528867,7.750207281400434,2025-11-28
Russell,Small-Growth,Small Growth,IWO,US,Russell 2000 Growth,-1.556502553873118,13.211062234802796,4.032654729889429,14.336380079931832,5.060769501972229,2025-11-28
