Ticker,YTD Return (%),1-Year Return (%),3-Year Return (%),5-Year Return (%)
EWG,26.23285504787647,28.1664509473807,71.424108711781,50.379087753486395
EIRL,18.296747241079583,18.1186684959603,60.35190284809904,57.89417621859441
EFNL,40.398590653978715,38.069449069216596,37.83563413762175,28.165560036508573
EDEN,3.040055656682132,-3.249479642989462,27.487728061145678,27.26068932397661
EWA,7.659116344185773,0.5408541601262086,25.25930656843961,35.14812875930814
EWH,34.240123630922454,32.39865968282386,28.159341463557425,5.755944846511366
EWO,53.630804744480756,57.973415215546865,93.43029583457012,124.80146609651803
EWK,31.5986076446727,29.52986867261845,49.51085179689662,44.76255410333052
EWQ,23.828418964219725,24.167145441916684,44.979291056606655,57.086238319784755
EWC,26.45105205176948,22.33967991570113,57.575417985761554,89.94870409354091
EIS,34.32966390164478,46.145290124254736,77.50754424316875,90.12348416808038
EWI,45.24735052310548,46.591058345182844,112.49648184632707,116.92010630521767
ENZL,-2.410990253681411,-5.12750318839446,0.37583787710216143,-24.350942964751866
EWJ,21.21212121212121,22.776875702870235,58.27801057802472,36.08035285089015
EWN,29.9520737663095,30.81561991240742,61.32863533789935,61.09493729863132
ENOR,22.64904090677903,16.63931523532307,32.48584799222988,45.10215813423735
PGAL,0.0,,10.36689100266421,17.57129505094945
EWD,26.488992142724086,24.98240446980607,52.86409100992277,38.2554716766433
EWL,24.943746494547568,21.687124180889768,42.45381498697039,45.30267092915336
EWP,62.560052113020106,57.77477816379366,134.33575134399135,122.09861160555356
EWS,31.49801494846321,29.199439616888412,72.65429983848074,66.43370665911758
ITOT,13.173985198756435,12.219218649387656,71.94250947888195,90.57303979186204
AGT,0.0,,,15.84503640467596
MCHI,33.4226984530639,32.7996464968221,55.04050686801146,-15.682210049492951
INDA,4.1603343465045555,2.9779657579012997,29.856596445107574,61.59026273521654
EPOL,62.28337436322421,65.34056481012406,163.40776376382715,119.60261755237744
ECH,51.39894090096854,49.09901765804856,61.79310886047252,67.87449447656272
EPU,57.54816472464438,48.27169668815496,147.1711513938435,136.9879126491573
EWZ,47.02688026065709,27.49075898007393,35.40715920031009,46.004098360655746
EZA,60.72799617555735,49.326382564456864,75.04279437401885,93.34376969524465
KWT,24.78540806580078,24.885670731707314,25.458617543277533,82.53809839900849
ICOL,0.0,,,1.377930631420418
EWU,25.6178544121277,25.108679358417028,55.683976078465,76.52732302850326
EWW,45.185629732068676,39.453963692261404,39.16012063183738,89.15657189479528
QAT,8.299433220586872,8.161006117045556,5.911013516156249,28.194723422673988
KSA,-4.2691523971323075,-3.9024170680109846,5.039605097003793,39.488795162355814
EWY,77.95244645313421,61.57089154803683,70.56123611694444,32.73687728288082
UAE,18.594960814012683,25.35623891424358,35.33672810729399,101.77070635786234
EIDO,2.6746524729701235,-3.42102787620331,-9.715368906520222,-0.6050826946349372
TUR,-4.690712016445537,0.8022855705391315,18.65273102208434,65.50381307804638
EGPT,0.0,,-14.089171159353054,-96.28007820549897
EPHE,-2.041641398827568,-5.433200245100906,1.6431540839741094,-19.426441295694648
THD,-0.9148534626484229,-4.437907493804954,-8.580388041427742,-9.08286132729083
EWM,9.633873660805357,13.004291845493551,35.98029241185554,13.707521625158165
EWT,20.74961360123648,20.290390626202907,78.56173522008805,80.18329686423404
GREK,65.75727837749429,73.51095332407431,178.37597897457084,237.47855460716306
PAK,0.0,,11.010466323298964,-22.301971836200163
VNAM,50.47608964645629,52.24100418410041,70.20687383988982,-10.366872674528608
NGE,0.0,,-14.056575591148285,-33.0445057109098
