currency,asof,TR_1Y_pct,CAGR_1Y_pct,TR_3Y_pct,CAGR_3Y_pct,TR_5Y_pct,CAGR_5Y_pct,TR_10Y_pct,CAGR_10Y_pct,TR_All_pct,CAGR_All_pct
EUR,2025-11-29,8.073421877331754,8.073421877331754,48.85965595398347,14.180604245647688,83.11690238867592,12.861465857841136,178.43615103770983,10.782857282790692,7188.203348781522,8.136831315668092
USD,2025-11-29,18.77210355071437,18.77210355071437,67.54686638063217,18.771462227394874,78.05553144823783,12.230550711223366,205.64294545323608,11.82050200183815,8127.756860551682,8.376260019153325
GBP,2025-11-29,13.461538461538481,13.461538461538481,51.263285404852454,14.791882042816384,77.61061936377828,12.174407877470372,244.53663937338672,13.167974095566649,14791.601226958812,9.555902123303994
